Cloth_type_color,visitors,sessions,duration,total_bounce_rate,total_carts,total_checkouts,total_conversion,total_orders_placed,total_pageviews,duration_numeric
t-shirt-pink,114,133,2m51.353383458s,0.52631,8,10,0.03007,4,483,125.353383458
Sweatshirt-black,70,75,2m6.266666666s,0.65333,1,0,0.0,0,181,120.266666666
t-shirt-white,83,93,1m32.139784946s,0.68817,2,1,0.0,0,201,63.139784946
Trouser-navy,214,241,1m23.983402489s,0.57261,5,3,0.00829,2,533,62.983402489
Jacket-navy,205,251,2m1.828685258s,0.60956,9,4,0.00398,1,758,120.828685258
t-shirt-white,77,93,2m20.827956989s,0.6344,5,8,0.03225,3,247,122.827956989
polo-green,10,13,6m58.846153846s,0.53846,3,2,0.04761,2,110,365.846153846
t-shirt-navy,283,302,1m31.006622516s,0.56953,14,4,0.00662,2,816,63.006622516
jeans-blue,442,475,1m13.463157894s,0.65263,12,10,0.00631,3,1099,61.463157894
polo-blue,68,77,1m13.714285714s,0.71428,1,1,0.0,0,153,61.714285714
t-shirt-navy,49,57,4m1.526315789s,0.63157,2,4,0.0,0,157,240.526315789
t-shirt-olive,69,89,2m12.516853932s,0.65168,3,3,0.0,0,214,121.516853932
Sweatshirt-prune,25,28,1m37s,0.64285,0,0,0.0,0,61,97.0
Jacket-navy,4,5,15m0s,0.4375,0,0,0.0,0,10,900.0
Trouser-olive,1147,1176,46.318877551s,0.71003,50,2,0.00085,1,2026,2760.318877551
Sweatshirt-black,28,34,1m57.5s,0.61764,2,0,0.0,0,96,65.5
Jacket-pink,237,271,2m18.468634686s,0.57195,7,4,0.0,0,742,121.468634686
t-shirt-green,74,105,2m4.866666666s,0.6,3,1,0.00952,1,309,120.866666666
Trouser-beige,88,109,2m35.95412844s,0.61467,3,3,0.01834,2,432,123.95412844
Trouser-white,1719,1871,44.969113063s,0.70303,50,26,0.00141,10,4541,2640.969113063
Sweatshirt-grey,282,306,56.588235294s,0.79411,3,2,0.00653,2,498,2940.6
Trouser-blue,691,740,36.187837837s,0.81486,5,0,0.0,0,1238,2160.187837837
jeans-blue,112,128,1m28.65625s,0.625,7,1,0.0,0,381,62.65625
Trouser-beige,1033,1177,1m33.450297366s,0.60577,22,14,0.00594,7,3152,63.450297366
Sweatshirt-navy,1101,1215,59.284773662s,0.71111,18,6,0.00082,1,2350,2940.6
t-shirt-black,627,666,1m31.704204204s,0.62162,29,26,0.003,2,1744,63.704204204
Trouser-grey,29,39,1m45.384615384s,0.64102,2,0,0.0,0,124,64.384615384
polo-purple,222,247,49.890688259s,0.70445,3,3,0.00404,1,470,2940.6
Jacket-green,17,17,30.176470588s,0.58823,0,0,0.0,0,41,1800.176470588
t-shirt-black,23,24,30.041666666s,0.75,1,0,0.0,0,41,1800.041666666
Sweatshirt-maroon,4,5,36s,0.4375,0,0,0.0,0,10,60.294545454
polo-navy,1719,1871,23.529544883s,0.84293,50,1,0.0,0,4541,1380.529544883
polo-grey,56,69,1m59.550724637s,0.5942,1,0,0.0,0,186,65.550724637
Trouser-olive,11,13,5m37.076923076s,0.46153,0,0,0.0,0,56,303.076923076
Sweatshirt-lilac,16,16,1m23.625s,0.625,1,0,0.0,0,42,62.625
polo-rust,30,34,2m17.647058823s,0.55882,3,1,0.02941,1,85,121.647058823
t-shirt-green,123,153,1m9.62745098s,0.55555,6,4,0.0,0,428,60.62745098
polo-navy,406,521,2m12.846449136s,0.63339,13,6,0.00383,2,1492,121.846449136
Sweatshirt-beige,1554,1715,1m15.864139941s,0.63906,18,9,0.00058,1,3912,61.864139941
jeans-blue,157,202,3m24.247524752s,0.48514,4,7,0.01485,3,774,182.247524752
Trouser-green,19,29,1m56.862068965s,0.51724,0,1,0.0,0,95,65.862068965
polo-black,76,98,3m36.693877551s,0.59183,3,5,0.04081,4,353,183.693877551
Jacket-blue,133,139,1m35.539568345s,0.64028,3,1,0.0,0,264,63.539568345
polo-grey,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
Sweatshirt-white,990,1068,59.032771535s,0.63014,18,13,0.00093,1,2330,2940.6
t-shirt-grey,115,136,2m15.492647058s,0.53676,4,4,0.02205,3,494,121.492647058
t-shirt-yellow,22,34,2m23s,0.70588,1,0,0.0,0,67,143.0
Sweatshirt-pink,13,13,2m2.307692307s,0.53846,0,0,0.0,0,21,120.307692307
Sweatshirt-blue,39,41,18.926829268s,0.82926,1,0,0.0,0,50,1080.926829268
Sweatshirt-green,1719,1871,1m18.699532511s,0.65405,33,20,0.00382,9,4541,61.699532511
Trouser-grey,505,559,2m32.076923076s,0.57781,22,13,0.00715,4,1893,123.076923076
t-shirt-green,286,330,2m2.851515151s,0.59393,12,6,0.00606,2,1032,120.851515151
t-shirt-grey,107,120,2m43.408333333s,0.53333,8,3,0.00833,1,512,124.408333333
t-shirt-maroon,126,133,4m52.879699248s,0.6015,6,2,0.0,0,414,245.879699248
t-shirt-black,304,363,1m29.906336088s,0.58126,19,11,0.01101,4,908,62.906336088
polo-black,64,67,3m1.940298507s,0.61194,2,3,0.02985,2,216,180.940298507
polo-green,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
Trouser-navy,1199,1871,42.39848282s,0.84293,16,2,0.00044,1,3327,2520.39848282
t-shirt-black,1067,1174,1m34.250425894s,0.6678,50,26,0.01022,12,3236,63.250425894
jeans-blue,229,277,2m0.404332129s,0.63898,10,6,0.00722,2,908,120.404332129
t-shirt-green,57,59,50.33898305s,0.67796,0,1,0.01694,1,145,2940.6
Trouser-beige,109,143,2m26.531468531s,0.50349,6,2,0.0,0,592,122.531468531
Trouser-green,326,386,1m57.901554404s,0.50777,13,5,0.00518,2,1220,65.901554404
t-shirt-black,23,28,2m27.5s,0.64285,1,2,0.03571,1,105,122.5
t-shirt-blue,110,145,2m5.489655172s,0.7862,2,2,0.0,0,338,120.489655172
